iter	Passed	Remaining
961	6779	267
962	6786	260
963	6791	253
964	6798	246
965	6805	239
966	6813	232
967	6820	225
968	6827	218
969	6832	211
970	6838	204
971	6843	197
972	6851	190
973	6856	183
974	6862	175
975	6869	168
976	6876	161
977	6881	154
978	6888	147
979	6896	140
980	6903	133
981	6910	126
982	6917	119
983	6924	112
984	6931	105
985	6936	98
986	6941	91
987	6947	84
988	6954	77
989	6960	70
990	6965	63
991	6970	56
992	6976	49
993	6981	42
994	6988	35
995	6994	28
996	7001	21
997	7008	14
998	7015	7
999	7022	0
